,"NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","BUILDING CLASS AT PRESENT
","LAND SQUARE FEET
","BLOCK
","LOT
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
",Predicted Values,Original Values
8996,25,10,12,0,1341,1,0,0,0,0,0,1964,127929.84765196033,490000
5459,13,2,88,1870,2050,208,2,0,2,1870,4216,1899,-2840804.378682585,2600000
2988,8,46,25,0,70,1021,0,0,1,0,0,1958,3228452.8550201315,0
8598,24,43,49,0,1310,1003,0,0,1,0,0,1956,1103770.35871915,0
8140,24,10,8,0,1371,14,0,0,0,0,0,1958,457621.7049574633,1740000
11147,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,55955
22953,37,10,16,0,1250,47,0,0,0,0,0,1921,-503501.89916931465,770000
21097,33,10,12,0,1522,12,0,0,0,0,0,1924,-129532.17392894952,475000
15520,32,13,15,0,1416,1034,1,0,1,0,0,1967,827477.9979354129,2153250
9126,25,10,16,0,1350,1,0,0,0,0,0,1968,-150501.72926063836,565000
15011,26,45,71,0,1027,1282,0,0,1,0,0,0,898279.6077462188,29400
21924,33,13,16,0,1524,1031,1,0,1,0,0,1928,739924.4400262716,0
1233,3,44,55,0,204,1001,0,0,1,0,0,2004,1391499.8086190657,10700000
4992,13,10,8,0,2009,33,0,0,0,0,0,1920,887084.2303647483,407000
9608,25,13,16,0,1323,1172,1,0,1,0,0,1985,1158772.263507578,4370000
138,1,15,21,0,375,1108,1,0,1,0,0,2003,1517258.1484302892,780000
24279,40,10,16,0,2179,10,0,0,0,0,0,1939,-683997.8143863571,0
16013,26,45,71,0,1027,1383,0,0,1,0,0,0,1011982.9662653334,0
4160,12,8,5,3862,612,51,21,6,27,3862,17826,1940,8423258.621317415,0
2152,7,10,16,0,841,69,0,0,0,0,0,1907,625471.3849529554,500000
12210,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,21300
13196,32,13,11,0,1483,1020,1,0,1,0,0,1989,1073042.5836797045,0
15065,28,10,11,0,865,7,0,0,0,0,0,1979,95882.84227777785,750000
18709,32,17,17,0,1373,1901,0,0,0,0,0,1975,1298832.0864014728,123598
1938,5,28,25,0,1081,1201,0,0,1,0,0,1910,4479059.7684479905,10
18310,33,13,18,0,1460,1043,1,0,1,0,0,1959,598332.7625063383,0
14672,26,45,79,0,1027,1348,0,0,1,0,0,0,420868.847085305,0
10310,26,13,13,0,1032,1284,1,0,1,0,0,2004,1450229.5886681913,0
10851,26,13,16,0,1269,1161,1,0,1,0,0,1982,1113061.191924714,2995000
8671,25,10,11,0,1334,41,0,0,0,0,0,1929,262965.78305644915,392000
24720,39,10,11,0,2177,234,0,0,0,0,0,1951,-57882.2600123859,399516
17184,33,10,16,0,1406,46,0,0,0,0,0,1926,-365887.8964245566,0
13549,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,18850
6307,13,31,37,2523,1922,58,0,0,0,2523,0,0,-1043331.378682585,0
7631,21,7,4,2115,273,23,15,0,15,2115,8326,1901,5103215.621317415,0
10144,27,13,9,0,863,1150,0,0,0,0,0,0,2583046.0534350863,3120000
21017,39,10,10,0,2179,1,0,0,0,0,0,1917,-230967.71965130093,572500
11769,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
14747,26,45,79,0,1027,1366,0,0,1,0,0,0,441132.8119698991,100
18594,32,13,13,0,1484,1343,1,0,1,0,0,1985,1301107.3406556337,0
2953,8,22,24,2714,79,3,0,2,2,2714,10470,1924,1565354.621317415,410714
14450,26,45,79,0,1027,1296,0,0,1,0,0,0,362328.5040853643,100
13749,33,10,8,0,1497,41,0,0,0,0,0,1957,159791.40293099545,1475000
19405,33,10,11,0,1491,48,0,0,0,0,0,1967,-45065.090382231865,2050000
11838,32,10,8,0,1386,37,0,0,0,0,0,1951,197428.06582820276,400000
24185,40,10,16,0,2171,12,0,0,0,0,0,1951,-688743.5122492085,0
13753,31,13,15,0,16,1486,1,0,1,0,0,2005,1379068.1095315893,0
4539,12,2,67,1750,527,92,2,1,3,1750,3480,1900,-1570793.378682585,6800000
4578,11,14,34,1360,569,20,6,2,8,1360,4941,1900,1002320.621317415,0
13517,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,10
117,1,13,16,0,392,1018,1,0,1,0,0,1928,1908695.8516330612,1660000
9574,25,13,18,0,1327,1162,1,0,1,0,0,1990,1006518.1386872665,1140000
5920,15,15,15,0,2059,1110,1,0,1,0,0,0,2586566.251790214,550000
4846,12,9,11,0,584,45,0,0,0,0,0,1900,823346.5334760305,465000
4293,11,10,16,0,556,44,0,0,0,0,0,1921,449933.06225152593,880000
17543,30,28,82,0,100,1202,0,0,1,0,0,2007,-394326.0112546482,0
4529,12,1,26,840,587,54,1,0,1,840,924,1899,554151.621317415,4900000
19251,32,10,12,0,1453,43,0,0,0,0,0,1928,-59338.79712682776,995000
22790,37,10,16,0,1236,3,0,0,0,0,0,1922,-553341.2222080948,550000
22714,35,45,97,0,1113,1247,0,0,1,0,0,0,-1262175.9301556027,0
9342,25,43,13,0,1315,1036,0,0,0,0,0,0,689165.0188008859,0
7999,22,13,13,0,1833,2279,1,0,1,0,0,1961,2724328.057310696,0
16039,29,14,57,2500,489,13,6,1,7,2500,6297,1900,-1004383.378682585,11000000
5980,16,29,64,2575,1966,82,0,0,0,2575,0,0,-2882011.378682585,0
4081,11,10,10,0,568,6,0,0,0,0,0,1924,818896.429031855,2000000
5385,12,17,21,0,616,1002,0,0,0,0,0,1929,779026.4648432159,1380000
2158,7,8,63,1808,832,45,8,1,9,1808,8028,1900,388834.62131741503,4200000
2263,8,13,11,0,18,1183,1,0,1,0,0,1956,2176639.703700069,1650000
1033,3,13,11,0,202,1010,1,0,1,0,0,0,3326997.7407717207,0
19167,35,17,19,0,1179,1212,0,0,0,0,0,1962,288316.93981587933,1350000
13495,32,47,21,0,1414,1286,0,0,1,0,0,2003,2826143.42553664,0
10456,26,13,13,0,1044,1118,1,0,1,0,0,1979,1278025.675674193,1890895
20899,38,47,25,0,2134,1322,0,0,1,0,0,1926,2404312.20969527,12168
9602,25,13,16,0,1323,1079,1,0,1,0,0,1985,1054075.1116038389,1150000
15215,26,45,71,0,1027,1304,0,0,1,0,0,0,923046.6759385006,200
1015,2,17,19,0,721,1008,0,0,0,0,0,1932,1282170.5435111402,495000
9868,25,13,16,0,1365,1519,1,0,1,0,0,1972,1556302.0354121332,610000
13507,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,0
10088,27,13,11,0,859,1298,1,0,1,0,0,2008,1568892.3175069825,1750000
11274,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
26475,39,10,12,0,2179,170,0,0,0,0,0,1925,-183415.59621093515,595000
18410,35,13,15,0,1116,1392,1,0,1,0,0,1970,1126235.5773503124,1300000
10594,26,26,48,7532,1009,37,0,2,2,7532,112850,2007,20070087.621317416,53683
9553,25,17,17,0,1048,3003,0,0,0,0,0,0,3978995.008796949,999000
6304,14,13,13,0,1628,1263,0,0,0,0,0,0,2889630.566529747,691646
7924,24,13,15,0,1292,1412,1,0,1,0,0,2012,1518693.718995402,44833408
9793,26,13,15,0,1005,1091,1,0,1,0,0,1987,1105738.6456439742,3607621
8571,24,29,52,11892,1304,45,0,3,3,11892,63985,1962,9669946.621317415,0
4216,11,10,12,0,555,28,0,0,0,0,0,1965,681529.4754500682,1275000
5326,12,15,19,0,588,1105,1,0,1,0,0,1900,1310174.9449015916,0
22933,36,9,9,0,1211,148,0,0,0,0,0,1900,194301.88785257144,550000
5432,13,7,31,1815,2025,17,4,0,4,1815,3991,1920,875190.621317415,0
9551,26,7,2,2510,1041,63,14,2,16,2510,10250,1920,5393054.621317415,10
562,2,10,10,0,799,35,0,0,0,0,0,1958,1152627.9370484506,361599
21944,35,13,13,0,1150,1142,1,0,1,0,0,1987,971861.9223752231,0
1049,2,15,19,0,738,1206,1,0,1,0,0,0,2917492.7643490653,3250000
9254,25,13,13,0,1320,1653,1,0,1,0,0,1956,1924537.9546524244,540000
6369,13,43,54,0,1903,1304,0,0,1,0,0,1920,1505625.6605134108,0
7825,21,10,16,0,331,120,0,0,0,0,0,1949,161024.84995022044,395000
5558,13,7,27,1665,1911,40,10,0,10,1665,2697,1910,1844536.621317415,1640000
16490,31,13,13,0,16,4459,1,0,1,0,0,2000,4866912.634279917,0
15756,35,10,8,0,1185,1,0,0,0,0,0,1928,66088.43220495945,550000
18491,33,17,22,0,1385,1102,0,0,0,0,0,0,1197097.9934432623,0
12436,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,15000
18464,33,13,18,0,1487,1420,1,0,1,0,0,1986,1006068.4663747489,0
24621,39,7,4,2809,2154,77,13,0,13,2809,9755,1905,4445389.621317415,0
19526,32,13,16,0,1390,1014,1,0,1,0,0,0,1910839.4248129972,2900000
19825,36,10,10,0,1250,40,0,0,0,0,0,1923,-62548.25278041419,999999
5467,13,3,2,1874,1725,17,3,0,3,1874,3975,2000,2875372.621317415,0
16452,31,13,13,0,16,4384,1,0,1,0,0,2000,4782479.447260773,2800187
13005,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,52500
844,2,13,18,0,797,1804,1,0,1,0,0,2012,2560793.81381789,1507010
6773,21,10,8,0,331,65,0,0,0,0,0,1949,650819.1447072742,630000
100,1,9,15,5160,406,50,48,0,48,5160,23172,1901,13166189.621317415,339000
11140,31,13,11,0,16,4487,1,0,1,0,0,2000,5036362.3487431705,2695000
18754,33,43,49,0,1374,1005,0,0,1,0,0,1985,761177.9772652504,7000000
666,2,13,18,0,720,1016,1,0,1,0,0,1984,1692003.4356052256,562500
6812,16,7,7,846,1967,73,10,0,10,846,1850,1926,2977856.621317415,823098
19940,32,13,16,0,1457,1043,1,0,1,0,0,1985,757045.3884960511,595000
2694,8,13,15,0,78,1781,1,0,1,0,0,1908,2601403.036955711,0
7890,21,13,16,0,276,1230,1,0,1,0,0,2010,1375942.1439677668,550000
15824,26,45,71,0,1027,1361,0,0,1,0,0,0,987215.8980730507,35484
5013,12,10,11,0,616,11,0,0,0,0,0,1960,696824.7063628794,752500
14321,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,45000
22391,36,47,52,0,1171,3314,0,0,1,0,0,0,4027212.570172253,12000
16508,33,10,10,0,1507,41,0,0,0,0,0,1929,38370.973517423496,1287500
22836,35,10,12,0,1124,21,0,0,0,0,0,1923,-182995.56144027924,1285000
896,2,17,17,0,721,1062,376,0,376,0,320433,0,127243866.14544408,650000
8720,25,10,16,0,1328,21,0,0,0,0,0,1977,-132900.64889311045,980000
12421,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,0
11682,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
12075,26,26,57,7532,1009,37,0,2,2,7532,112850,2007,19447495.621317416,0
5321,13,3,1,1665,1911,20,3,0,3,1665,3332,1910,2864178.621317415,2675000
3858,10,10,12,0,907,56,0,0,0,0,0,1965,741958.2805874818,1260000
13119,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,85000
11009,26,25,57,7532,1009,37,0,2,2,7532,112850,2007,19496647.621317416,42400
3496,10,13,11,0,882,1234,1,0,1,0,0,1927,2160870.012178045,4433286
1195,4,13,11,0,123,1198,1,0,1,0,0,2008,2305270.1540066493,6975012
12038,26,45,102,0,1006,1303,0,0,1,0,0,1963,-2387436.2451660666,103347
11568,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,38160
14379,32,9,9,0,1387,33,0,0,0,0,0,1930,188235.5701199663,545400
3613,10,10,12,0,877,30,0,0,0,0,0,1930,734208.4233999061,130909
14793,26,45,97,0,1027,1257,0,0,1,0,0,0,-922928.6749495505,0
5340,12,17,17,0,616,1002,0,0,0,0,0,1929,1054882.4474620963,3300000
2326,8,13,13,0,18,1344,1,0,1,0,0,1956,2219961.620525059,1089000
17388,29,15,19,0,595,1303,1,0,1,0,0,2011,850515.8967256718,3950000
1771,5,13,18,0,1090,1242,1,0,1,0,0,2005,1817447.2528896094,0
6202,13,13,13,0,2046,1059,1,0,1,0,0,1921,1696518.7460892429,507000
6422,19,13,11,0,943,1675,1,0,1,0,0,0,3480287.7501741108,1182500
10704,26,13,13,0,1269,1109,1,0,1,0,0,1982,1261412.8358889339,2800000
16327,31,13,13,0,16,2413,1,0,1,0,0,1986,2571933.292397655,617000
2701,8,13,13,0,76,1308,1,0,1,0,0,2003,2150165.7497519054,690000
23015,35,10,12,0,1145,61,0,0,0,0,0,1913,-132432.24838207895,565000
7770,21,10,16,0,321,1,0,0,0,0,0,1955,23683.964650642592,427500
22126,35,13,13,0,1171,1158,1,0,1,0,0,0,2175675.6155872974,2350000
22130,36,17,22,0,1158,1208,0,0,0,0,0,1963,40518.466313675046,425000
3430,10,10,10,0,899,1,0,0,0,0,0,1964,818732.351899521,1200000
14774,32,10,10,0,1410,14,0,0,0,0,0,1962,26539.97904964257,0
16039,26,45,71,0,1027,1388,0,0,1,0,0,0,1017611.8453999427,0
18333,32,13,13,0,1436,1233,1,0,1,0,0,1916,1219465.5025940542,535000
23154,37,13,18,0,1229,1020,1,0,1,0,0,1920,455561.42569644144,2150000
16597,35,17,17,0,1158,1007,0,0,0,0,0,1963,195301.60662500095,1720000
265,2,9,9,0,744,3,0,0,0,0,0,1940,1249217.9628789774,740000
4036,10,13,18,0,898,1131,1,0,1,0,0,0,2712252.631455436,1120075
22814,35,46,21,0,1170,1008,0,0,1,0,0,0,3657080.7727106414,0
20781,36,10,16,0,1118,22,0,0,0,0,0,1969,-521306.80861879187,2200000
20470,34,13,18,0,1584,1020,1,0,1,0,0,2005,506149.1827468672,1925000
19147,35,17,19,0,1179,1008,0,0,0,0,0,1962,58658.67112380639,995000
23335,35,13,16,0,1115,1364,1,0,1,0,0,1932,1048456.7023521918,1550000
13833,26,45,71,0,1027,1174,0,0,1,0,0,0,776695.8184386506,500
23583,38,10,16,0,1887,45,0,0,0,0,0,1915,-551693.0613053786,1815000
803,2,13,11,0,798,1083,1,0,1,0,0,1973,2255119.5683798078,0
1819,6,9,6,0,444,33,0,0,0,0,0,1900,1375039.9547786112,432000
22983,37,10,16,0,1252,20,0,0,0,0,0,1927,-537521.5341170332,850000
6575,14,31,37,1875,1677,2,0,0,0,1875,0,0,-1131795.378682585,0
7789,21,10,12,0,315,1,0,0,0,0,0,1960,296680.0101320017,480000
11631,26,26,57,7532,1009,37,0,2,2,7532,112850,2007,19447495.621317416,60500
4507,11,13,16,0,525,1111,1,0,1,0,0,1910,1658925.744261514,1850000
10037,27,10,8,0,916,61,0,0,0,0,0,1955,413075.7928136843,383150
16832,28,13,16,0,862,1405,1,0,1,0,0,2005,1310014.7180337557,1078000
23712,38,13,18,0,1868,1261,1,0,1,0,0,0,1823550.101881579,1125000
11475,31,13,11,0,222,1244,1,0,1,0,0,1905,1437892.5170902512,11261845
16715,33,3,3,5109,1428,41,3,0,3,5109,9948,1937,3359027.621317415,0
11504,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,57726
18119,33,13,18,0,1420,1147,1,0,1,0,0,1951,721023.2009227448,6236781
11108,31,13,11,0,16,3751,1,0,1,0,0,2006,4204209.340128632,1875000
8586,24,43,49,0,1296,1141,0,0,1,0,0,1955,1260016.2361801597,0
12255,26,45,102,0,1006,1303,0,0,1,0,0,1963,-2387436.2451660666,78739
18421,32,10,12,0,1384,37,0,0,0,0,0,1948,-76595.22916985117,1217250
17025,33,10,16,0,1393,33,0,0,0,0,0,1926,-380252.0126391705,0
9321,25,13,13,0,1325,1455,1,0,1,0,0,1958,1700336.121869817,1190000
11569,31,47,21,0,190,1419,0,0,1,0,0,1924,3084791.5377120045,0
18239,32,13,13,0,1420,1020,1,0,1,0,0,1951,959113.7524262932,0
11059,26,25,57,7532,1009,37,0,2,2,7532,112850,2007,19496647.621317416,0
9339,25,13,11,0,1044,1094,1,0,1,0,0,1979,1425179.1503865407,383310
5480,13,3,2,1699,2024,144,3,0,3,1699,4352,1910,3145310.621317415,1925000
7642,21,7,5,2500,348,44,18,3,21,2500,7000,1920,5346222.621317415,4500000
1985,7,10,7,0,839,62,0,0,0,0,0,1910,1236517.6026778086,0
354,2,10,12,0,749,24,0,0,0,0,0,1963,1000373.6021635276,55328
10443,26,13,16,0,1018,1276,1,0,1,0,0,2006,1233429.2084344407,2135000
9567,25,13,16,0,1320,4170,1,0,1,0,0,1979,4537492.724050753,840000
22873,35,10,12,0,1125,24,0,0,0,0,0,1964,-204116.07776992675,4000000
3977,10,15,19,0,905,1001,1,0,1,0,0,1984,1208826.9774988038,0
13244,29,10,11,0,482,8,0,0,0,0,0,1900,115910.69424390886,2400000
19426,33,10,11,0,1494,59,0,0,0,0,0,1963,-30356.08771733055,1825000
17285,32,10,11,0,1401,32,0,0,0,0,0,1918,4295.542573235463,840000
17861,37,7,2,2500,1877,32,9,2,11,2500,9105,1925,3921379.621317415,5800000
14190,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,54000
15468,32,13,15,0,1413,1041,1,0,1,0,0,1985,824674.9601551057,0
21830,36,13,18,0,1171,1021,1,0,1,0,0,0,1640380.2457763595,840000
9180,25,13,13,0,1345,1151,0,0,0,0,0,0,2370757.3365220493,1527364
23641,38,10,16,0,1890,73,0,0,0,0,0,1931,-529785.8695828039,1153000
10397,26,13,18,0,1018,1288,1,0,1,0,0,2006,1109010.527048063,0
6244,19,13,11,0,928,1644,1,0,1,0,0,2002,2250507.356695728,1023350
1120,3,43,54,0,204,1108,0,0,1,0,0,1915,1685813.2648190162,0
24134,37,10,11,0,1891,62,0,0,0,0,0,1927,-158738.16596672498,0
2626,8,13,18,0,44,1058,1,0,1,0,0,1928,1569343.8166810456,748000
6469,14,13,16,0,1629,1116,1,0,1,0,0,2007,1474901.746952889,518616
24394,40,10,16,0,2180,192,0,0,0,0,0,1939,-479127.45769697987,365000
4789,12,10,10,0,625,26,0,0,0,0,0,1940,794427.74512771,505000
20556,33,13,13,0,1539,1479,1,0,1,0,0,1986,1416225.3402952575,1379875
12784,26,31,37,1673,1017,5,0,0,0,1673,0,0,-1548871.378682585,34100000
24277,40,10,16,0,2179,10,0,0,0,0,0,1939,-683997.8143863571,835000
828,2,13,18,0,796,1128,1,0,1,0,0,1875,1881579.1986290808,10
12821,28,10,10,0,894,6,0,0,0,0,0,1924,195951.59160359437,275000
6230,13,15,19,0,1958,1004,1,0,1,0,0,0,2265971.4628674067,495000
19951,32,13,16,0,1461,1018,1,0,1,0,0,2006,716280.6175813493,718599
18168,35,10,10,0,1167,61,0,0,0,0,0,1931,-5708.820901728701,479000
19944,32,13,16,0,1460,1091,1,0,1,0,0,1959,826542.0967570641,0
14688,26,45,79,0,1027,1352,0,0,1,0,0,0,425371.9503929927,100
15673,26,45,71,0,1027,1342,0,0,1,0,0,0,965826.157361534,0
3801,10,10,11,0,902,1,0,0,0,0,0,1962,750899.8248135615,375000
6292,19,13,11,0,936,2052,1,0,1,0,0,1962,2733537.143596569,1450000
12494,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,37500
1899,6,13,11,0,469,1439,1,0,1,0,0,2009,2496284.963393811,2200000
